epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,9911.19,0.6119,0.33023,0.85838,0.92317,0.82393,0.87943,0.66587,0.47435,0.26775,0.82131,0.006535,0.006535,0.006535
107,10007,0.61011,0.32908,0.85817,0.92276,0.82377,0.87938,0.66593,0.47379,0.26752,0.82114,0.006502,0.006502,0.006502
108,10103.1,0.61045,0.329,0.85982,0.92643,0.82348,0.87961,0.6662,0.47323,0.26724,0.82102,0.006469,0.006469,0.006469
109,10199,0.61232,0.32992,0.85934,0.92205,0.82448,0.87992,0.66653,0.47283,0.26716,0.82091,0.006436,0.006436,0.006436
110,10295,0.60453,0.32743,0.85706,0.92085,0.82608,0.88008,0.6671,0.47228,0.26696,0.82079,0.006403,0.006403,0.006403
111,10390.7,0.60804,0.32832,0.85766,0.9252,0.82628,0.88042,0.66718,0.47198,0.26682,0.82071,0.00637,0.00637,0.00637
112,10486.8,0.60372,0.32438,0.85685,0.9242,0.82655,0.88081,0.66753,0.47163,0.26663,0.82063,0.006337,0.006337,0.006337
113,10582.8,0.60374,0.32566,0.85768,0.92275,0.82661,0.8813,0.6685,0.47109,0.26641,0.8205,0.006304,0.006304,0.006304
114,10678.9,0.60585,0.32698,0.85728,0.92169,0.8265,0.88125,0.66857,0.47092,0.2663,0.82041,0.006271,0.006271,0.006271
115,10775,0.59873,0.32364,0.85616,0.9227,0.8277,0.88099,0.66884,0.47057,0.26606,0.82032,0.006238,0.006238,0.006238
116,10870.9,0.59898,0.32337,0.85493,0.92351,0.82897,0.8814,0.66904,0.4701,0.26576,0.82022,0.006205,0.006205,0.006205
117,10966.9,0.60009,0.32368,0.857,0.92367,0.82916,0.88159,0.66963,0.46962,0.26555,0.82011,0.006172,0.006172,0.006172
118,11063.1,0.59943,0.32398,0.85578,0.92163,0.82848,0.88159,0.66965,0.46933,0.26536,0.82,0.006139,0.006139,0.006139
119,11159.2,0.5981,0.32251,0.85648,0.9218,0.82877,0.88252,0.67012,0.46895,0.26516,0.81991,0.006106,0.006106,0.006106
120,11255.1,0.59621,0.32172,0.85788,0.9237,0.82891,0.88299,0.67028,0.46856,0.26492,0.81979,0.006073,0.006073,0.006073
121,11351,0.5964,0.321,0.85504,0.9258,0.82884,0.88322,0.67093,0.46816,0.26474,0.81972,0.00604,0.00604,0.00604
122,11447,0.59465,0.32095,0.85345,0.92297,0.82951,0.88327,0.67089,0.46789,0.26464,0.81961,0.006007,0.006007,0.006007
123,11542.3,0.59017,0.31793,0.85358,0.92691,0.83058,0.88332,0.67127,0.46741,0.26445,0.81952,0.005974,0.005974,0.005974
124,11638,0.58919,0.3181,0.85376,0.92682,0.83028,0.8838,0.67207,0.46696,0.26422,0.81943,0.005941,0.005941,0.005941
125,11733.9,0.59371,0.3189,0.85498,0.91787,0.83388,0.88409,0.67204,0.46666,0.26406,0.81935,0.005908,0.005908,0.005908
